pole_id,lon,lat,weather_risk_score,forest_distance,forest_area,pole_slope,pole_height,spatial_risk_score,train_fire_count_3km,train_fire_area_3km,train_fire_proxy_3km,valid_fire_count_3km,valid_fire_area_3km,valid_fire_proxy_3km
6448,127.88919314246608,38.02471841938155,29.52997782587704,0.0,35727927.0,13.6640198209237,220.568161010742,30,0,0.0,0,0,0.0,0
6449,127.86117705652237,38.035255655424734,29.39058349345756,2.02316873776726,12165477.0,13.4295434319243,363.099151611328,31,1,0.0,1,0,0.0,0
6450,127.86174979575668,38.03523711497967,29.393790917123056,0.0,12131382.0,13.2927605084011,363.099151611328,31,1,0.0,1,0,0.0,0
6451,127.8623283458034,38.03523586405146,29.39708500288781,0.0,11889766.0,13.193162977081,356.450775146484,31,1,0.0,1,0,0.0,0
6452,127.86289843103026,38.035242873169096,29.40035757026403,2.04094795614947,11889716.0,13.0525028631859,356.450775146484,31,1,0.0,1,0,0.0,0
6453,127.86346709363076,38.03525359418161,29.403635318562277,0.387455018935725,11646550.0,12.7862514761305,348.289642333984,31,1,0.0,1,0,0.0,0
6454,127.86403475773648,38.03525593422904,29.40688612453351,0.0,11693744.0,12.7918263430498,348.289642333984,31,1,0.0,1,0,0.0,0
6455,127.8645941491206,38.035209040104505,29.4099533687911,0.0,11693694.0,12.4875754117966,341.585601806641,31,1,0.0,1,0,0.0,0
6456,127.86516795879872,38.035108139433326,29.412955837572472,14.0286207090091,11689945.0,12.3724262136402,341.585601806641,31,1,0.0,1,0,0.0,0
6457,127.86572646708387,38.03503317880013,29.415948958377108,0.0,11718916.0,12.0308895184822,346.723480224609,31,1,0.0,1,0,0.0,0
6458,127.86629911035052,38.0350267713471,29.419218477357035,0.0,11688896.0,11.4137254878879,325.212219238281,31,1,0.0,1,0,0.0,0
6459,127.86687939596328,38.035098180528166,29.422749724198795,0.0,11688896.0,11.0998959218462,325.212219238281,31,0,0.0,0,0,0.0,0
6460,127.86742542463168,38.03517973380947,29.4261126535417,0.351484555867501,11681122.0,10.556611100423,314.437286376953,31,0,0.0,0,0,0.0,0
6461,127.86799081778832,38.03522987027451,29.429501354522426,0.0,11681122.0,10.3560906415133,314.437286376953,31,0,0.0,0,0,0.0,0
6462,127.86852781803144,38.0351706344876,29.43243037093118,0.458073981688358,11670548.0,9.98003007110797,307.530944824219,29,0,0.0,0,0,0.0,0
6463,127.85568410153638,38.03436727114552,29.356730763780977,8.45086012108444,11822902.0,16.3962717567171,385.61328125,31,1,0.0,1,0,0.0,0
6464,127.85612019600876,38.03464019531189,29.360038006841965,10.4672455039968,11822852.0,16.4224828481674,380.727386474609,31,1,0.0,1,0,0.0,0
6465,127.85654811123648,38.03492007963106,29.363315547814302,0.0,11847823.0,16.0752821625495,380.727386474609,31,1,0.0,1,0,0.0,0
6466,127.85702713171617,38.03514111120075,29.36669828824844,0.24275861075148,11907615.0,15.5588821756596,391.960540771484,31,1,0.0,1,0,0.0,0
6467,127.85756287402536,38.03530326193672,29.37021981283523,0.0,12109986.0,15.175840237706,391.960540771484,31,1,0.0,1,0,0.0,0
6468,127.8581358594424,38.03538791072008,29.373716537331095,0.0,12110011.0,14.6420065275173,391.349029541016,31,1,0.0,1,0,0.0,0
6469,127.85872026022903,38.03539911926658,29.37705849665056,0.0,12127058.0,14.3844074195193,391.349029541016,31,1,0.0,1,0,0.0,0
6470,127.8591067989409,38.03524574338538,29.37879139787895,0.19528439512942,12127058.0,14.1504667672244,393.926452636719,31,1,0.0,1,0,0.0,0
6471,127.85854892637803,38.03527414631738,29.375713699439004,12.1043552920455,12127058.0,14.5333152087693,391.349029541016,31,1,0.0,1,0,0.0,0
6472,127.85798549272612,38.03524262479908,29.372427969613653,14.434884704251,12109986.0,14.9746545324422,391.960540771484,31,1,0.0,1,0,0.0,0
6473,127.85742038496136,38.0351463677015,29.368938739443408,12.131374232973,12109986.0,15.2837759132187,391.960540771484,31,1,0.0,1,0,0.0,0
6474,127.85690498548344,38.03495057223827,29.365427718103007,10.4733623592059,11837974.0,15.5949065582727,399.286102294922,31,1,0.0,1,0,0.0,0
6475,127.85643684907356,38.03471090146792,29.36204708068551,0.0,11857972.0,16.2717405471605,380.727386474609,31,1,0.0,1,0,0.0,0
6476,127.85597806396936,38.034428680927896,29.35858484708413,1.12998326215893,11822852.0,16.3847969975134,380.727386474609,31,1,0.0,1,0,0.0,0
6477,127.85917062742904,38.03524204403734,29.379142444688025,0.0,12127058.0,14.074879334145,393.926452636719,31,1,0.0,1,0,0.0,0
6478,127.8687217983829,38.03515835928168,29.433514180767062,12.0493122347595,11670548.0,9.86575426009237,307.530944824219,29,0,0.0,0,0,0.0,0
6479,127.86865778608788,38.03502637265914,29.432787073102062,17.5902854097293,11627204.0,9.88310841843486,307.530944824219,29,0,0.0,0,0,0.0,0
6480,127.86810340905969,38.03505792949541,29.42967962854476,13.3163043019595,11681122.0,10.3212494530629,314.437286376953,31,0,0.0,0,0,0.0,0
6481,127.86753655736608,38.03505796294696,29.42641739456583,3.22335958427787,11681122.0,10.5353892725341,314.437286376953,31,0,0.0,0,0,0.0,0
6482,127.86697424589497,38.03497577920552,29.422957225273414,1.64008638949599,11688896.0,11.1291816234589,325.212219238281,31,0,0.0,0,0,0.0,0
6483,127.86641825680157,38.034898737544005,29.41954797853265,0.0320042163366452,11688896.0,11.3115199978153,325.212219238281,31,1,0.0,1,0,0.0,0
6484,127.8658574690184,38.03488893663365,29.416298849501736,1.08696425019298,11718916.0,11.8916705040017,346.723480224609,31,1,0.0,1,0,0.0,0
6485,127.8653061639861,38.03494483006112,29.413290474679357,1.84058725903742,11706868.0,12.1101108180716,346.723480224609,31,1,0.0,1,0,0.0,0
6486,127.8647539056592,38.03504687982101,29.41041092766755,0.0,11693694.0,12.5089853104857,341.585601806641,31,1,0.0,1,0,0.0,0
6487,127.8641916686257,38.03511320014661,29.40737888083849,0.0,11693744.0,12.7740970741619,341.585601806641,31,1,0.0,1,0,0.0,0
6488,127.8636146081358,38.035123075425375,29.40410614937723,0.245209382264875,11646600.0,12.7968723798536,348.289642333984,31,1,0.0,1,0,0.0,0
6489,127.86302331773469,38.0351123271391,29.40069631721899,0.0,11640301.0,12.938321877499,356.450775146484,31,1,0.0,1,0,0.0,0
6490,127.86247425592224,38.03510354439384,29.397535943105375,2.14802731072996,11889766.0,13.0870253344377,356.450775146484,31,1,0.0,1,0,0.0,0
6491,127.8618982514998,38.03509950092245,29.39423809876663,7.17085646254725,12131407.0,13.3092692021242,363.099151611328,31,1,0.0,1,0,0.0,0
6492,127.86133232145336,38.03511623256379,29.39106105579593,12.3728755834745,12171676.0,13.4893778197619,363.099151611328,31,1,0.0,1,0,0.0,0
6493,127.87721492114628,38.03376268332643,29.47922835779269,29.7815722224092,46794536.0,13.3765456907603,233.340866088867,30,0,0.0,0,0,0.0,0
6494,127.87746076650464,38.03347133813274,29.479943095436113,5.23547895370132,46821858.0,13.6845282377029,233.340866088867,30,0,0.0,0,0,0.0,0
6495,127.8899329526216,38.024729868639646,29.534513149995075,1.6167439162964,35733101.0,14.5534517184204,232.963912963867,30,0,0.0,0,0,0.0,0
6496,127.8904122581721,38.02461244170648,29.537188258180997,0.751654482912272,35733101.0,14.9162256582787,232.963912963867,30,0,0.0,0,0,0.0,0
6497,127.88981805062464,38.02457716912183,29.533487695237596,1.33704598911572,35733101.0,14.3399498834438,232.963912963867,30,0,0.0,0,0,0.0,0
6498,127.74814515175932,37.856497655237405,29.29429291434232,250.487801865973,106863.0,1.65995905947204,85.5392227172852,2,0,0.0,0,0,0.0,0
6499,127.6716367099372,37.828202807835936,28.93876026928004,86.8235151689477,10449475.0,13.639284731839,61.2552642822266,21,0,0.0,0,0,0.0,0
6500,127.66674231324708,37.973537592068006,28.697622756474807,52.8745432860451,12155019.0,10.6293481510057,127.479667663574,21,2,1.0,1,0,0.0,0
6501,127.66687055744174,37.97356127441801,28.69731644560929,51.1368976248639,12155019.0,9.93943014748705,115.43888092041,19,2,1.0,1,0,0.0,0
6502,127.74675516471837,37.857570980463166,29.317948378452588,279.678041173456,216601.0,1.67146188245776,84.9204025268555,2,0,0.0,0,0,0.0,0
