trial,method,weight_weather_risk_score,weight_spatial_risk_score,train_accuracy,train_precision,train_recall,train_f1,train_positive_rate,train_selected_count,train_proxy_total,train_captured_proxy_count,train_top_rate,train_threshold,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_positive_rate,valid_selected_count,valid_proxy_total,valid_captured_proxy_count,valid_top_rate,valid_threshold
229,optuna,0.585030489711284,0.41496951028871604,0.5827,0.45166666666666666,0.3489569920164821,0.39372366700566613,0.3,3000,3883,1355,0.3,0.5216498506925354,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5216498506925354
250,optuna,0.6016713216957599,0.39832867830424007,0.5827,0.45166666666666666,0.3489569920164821,0.39372366700566613,0.3,3000,3883,1355,0.3,0.5209425947606597,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5209425947606597
273,optuna,0.6015912234424914,0.3984087765575086,0.5827,0.45166666666666666,0.3489569920164821,0.39372366700566613,0.3,3000,3883,1355,0.3,0.520951251964085,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.520951251964085
239,optuna,0.5836497810045259,0.41635021899547414,0.5825,0.4513333333333333,0.34869945918104556,0.39343309603370624,0.3,3000,3883,1354,0.3,0.5219050815290203,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219050815290203
26,optuna,0.5811773354278406,0.4188226645721594,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5223037865050364,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223037865050364
64,optuna,0.5829838237032035,0.4170161762967966,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5219374035061926,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219374035061926
143,optuna,0.5824007551883947,0.4175992448116054,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5220588239151599,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220588239151599
161,optuna,0.5820805424560797,0.41791945754392035,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5220964371441658,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220964371441658
189,optuna,0.5818652348976028,0.4181347651023973,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5221513633061561,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5221513633061561
198,optuna,0.602257712249326,0.3977422877506739,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5208038289042338,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5208038289042338
215,optuna,0.5829958409730598,0.4170041590269401,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5219329886611559,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219329886611559
255,optuna,0.5832824788722656,0.4167175211277344,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5218938610713245,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5218938610713245
285,optuna,0.5813897870629368,0.41861021293706324,0.5823,0.451,0.34844192634560905,0.39314252506174635,0.3,3000,3883,1353,0.3,0.5222353538963097,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222353538963097
43,optuna,0.5802634152566346,0.4197365847433654,0.5821,0.45066666666666666,0.34818439351017255,0.3928519540897864,0.3,3000,3883,1352,0.3,0.5226060772136056,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5226060772136056
193,optuna,0.5802286527082627,0.4197713472917373,0.5821,0.45066666666666666,0.34818439351017255,0.3928519540897864,0.3,3000,3883,1352,0.3,0.5226223617045165,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5226223617045165
235,optuna,0.5805745880096048,0.41942541199039507,0.5821,0.45066666666666666,0.34818439351017255,0.3928519540897864,0.3,3000,3883,1352,0.3,0.5224742609143553,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5224742609143553
293,optuna,0.5803291233320843,0.4196708766679157,0.5821,0.45066666666666666,0.34818439351017255,0.3928519540897864,0.3,3000,3883,1352,0.3,0.5225699473168491,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5225699473168491
112,optuna,0.5774521568641948,0.4225478431358052,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5235572664546639,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5235572664546639
151,optuna,0.5789866242863949,0.42101337571360503,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5231108050599116,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5231108050599116
157,optuna,0.6027672502713756,0.3972327497286245,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5206733018098864,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5206733018098864
171,optuna,0.5793393390481031,0.420660660951897,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5229048975442536,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5229048975442536
232,optuna,0.5792591026892818,0.42074089731071806,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5229517378557571,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5229517378557571
242,optuna,0.6028800956033236,0.3971199043966764,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5206407697466982,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5206407697466982
247,optuna,0.5788620481450324,0.4211379518549677,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.523097872096644,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.523097872096644
265,optuna,0.5778616862906107,0.42213831370938926,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5233806919228456,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5233806919228456
287,optuna,0.578099778208455,0.42190022179154496,0.5819,0.4503333333333333,0.34792686067473605,0.3925613831178265,0.3,3000,3883,1351,0.3,0.5232594167183736,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5232594167183736
